IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.215.241.164,2053,443,true,WAW,Europe,Warsaw,325,11.48
20.91.225.232,2053,443,true,ARN,Europe,Stockholm,483,11.45
172.179.181.196,443,443,true,SEA,North America,Seattle,356,11.37
4.219.15.140,2053,443,true,CPH,Europe,Copenhagen,215,11.16
135.225.118.68,2053,443,true,ARN,Europe,Stockholm,184,11.13
20.91.225.232,8443,443,true,ARN,Europe,Stockholm,236,10.88
20.33.62.19,2083,443,true,LHR,Europe,London,174,10.64
20.217.216.51,2053,443,true,VIE,Europe,Vienna,199,10.58
20.217.216.51,8443,443,true,VIE,Europe,Vienna,249,10.25
20.62.202.159,443,443,true,EWR,North America,Newark,325,9.19
20.151.238.192,8443,443,true,YYZ,North America,Toronto,358,9.17
20.127.201.36,443,443,true,IAD,North America,Ashburn,427,8.90
20.25.205.37,8443,443,true,ORD,North America,Chicago,489,8.84
4.255.56.138,443,443,true,EWR,North America,Newark,446,8.66
158.23.81.224,2053,443,true,DFW,North America,Dallas,298,8.48
158.23.49.237,2053,443,true,DFW,North America,Dallas,335,8.48
20.221.32.145,443,443,true,ORD,North America,Chicago,239,8.42
158.23.81.224,8443,443,true,DFW,North America,Dallas,328,8.40
158.23.48.156,8443,443,true,DFW,North America,Dallas,222,8.29
20.151.60.161,8443,443,true,YYZ,North America,Toronto,309,8.24
48.217.34.120,443,443,true,IAD,North America,Ashburn,245,8.24
172.191.74.198,443,443,true,IAD,North America,Ashburn,400,8.19
158.23.48.156,2053,443,true,DFW,North America,Dallas,294,8.18
172.212.108.47,443,443,true,IAD,North America,Ashburn,405,8.15
158.23.169.65,2053,443,true,DFW,North America,Dallas,247,8.10
4.206.223.188,8443,443,true,YYZ,North America,Toronto,257,8.06
20.151.63.165,8443,443,true,YYZ,North America,Toronto,406,8.01
20.33.30.36,2083,443,true,LAX,North America,Los Angeles,436,7.98
4.172.225.98,8443,443,true,YYZ,North America,Toronto,365,7.98
20.84.117.28,443,443,true,IAD,North America,Ashburn,271,7.96
4.255.56.137,443,443,true,EWR,North America,Newark,475,7.94
