IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
52.195.143.118,9002,443,true,NRT,Asia Pacific,Tokyo,99,5.56
118.42.194.47,20201,443,true,FUK,Asia Pacific,Fukuoka,315,5.34
121.84.197.227,12314,443,true,KIX,Asia Pacific,Osaka,126,4.93
61.220.128.223,81,443,true,TPE,Asia Pacific,Taipei,94,4.81
124.49.17.207,19999,443,true,ICN,Asia Pacific,Seoul,235,4.64
182.226.53.214,12589,443,true,ICN,Asia Pacific,Seoul,127,4.26
1.11.62.95,50003,443,true,ICN,Asia Pacific,Seoul,114,4.21
130.162.128.34,4433,443,true,ICN,Asia Pacific,Seoul,140,4.19
221.153.42.212,12349,443,true,ICN,Asia Pacific,Seoul,151,4.13
113.131.68.165,10000,443,true,ICN,Asia Pacific,Seoul,177,3.95
59.20.66.115,26470,443,true,ICN,Asia Pacific,Seoul,170,3.81
193.122.114.161,2052,2086,false,ICN,Asia Pacific,Seoul,98,3.66
114.201.80.59,30001,443,true,ICN,Asia Pacific,Seoul,146,3.57
119.207.213.167,12345,443,true,KIX,Asia Pacific,Osaka,185,3.55
61.84.78.175,18110,443,true,FUK,Asia Pacific,Fukuoka,207,3.49
175.195.244.202,50003,443,true,ICN,Asia Pacific,Seoul,124,3.46
57.180.53.206,50001,443,true,SEA,North America,Seattle,100,3.45
59.13.75.15,31337,443,true,FUK,Asia Pacific,Fukuoka,558,3.42
221.164.132.47,50000,443,true,ICN,Asia Pacific,Seoul,124,3.24
218.148.35.119,21303,443,true,FUK,Asia Pacific,Fukuoka,140,3.22
49.171.48.200,50003,443,true,ICN,Asia Pacific,Seoul,123,3.18
220.86.189.63,10443,443,true,KIX,Asia Pacific,Osaka,403,3.18
221.161.118.96,10443,443,true,ICN,Asia Pacific,Seoul,167,3.14
106.244.196.196,30005,443,true,ICN,Asia Pacific,Seoul,145,3.14
183.102.23.76,34567,443,true,FUK,Asia Pacific,Fukuoka,188,3.13
211.51.57.236,10909,443,true,FUK,Asia Pacific,Fukuoka,163,3.11
61.41.237.69,10443,443,true,ICN,Asia Pacific,Seoul,205,3.08
1.224.124.211,30012,443,true,ICN,Asia Pacific,Seoul,140,3.07
125.135.43.66,50003,443,true,ICN,Asia Pacific,Seoul,152,3.05
121.140.177.226,11300,443,true,ICN,Asia Pacific,Seoul,225,3.05
210.97.31.49,33389,443,true,ICN,Asia Pacific,Seoul,254,3.02
1.236.233.194,50003,443,true,ICN,Asia Pacific,Seoul,133,2.96
43.207.120.18,5432,443,true,NRT,Asia Pacific,Tokyo,104,2.96
61.83.166.150,27571,443,true,FUK,Asia Pacific,Fukuoka,141,2.94
45.78.53.43,2501,443,true,KIX,Asia Pacific,Osaka,125,2.92
121.153.36.122,30073,443,true,ICN,Asia Pacific,Seoul,156,2.91
175.198.138.31,21500,443,true,ICN,Asia Pacific,Seoul,163,2.88
125.136.51.42,28017,443,true,KIX,Asia Pacific,Osaka,156,2.83
115.22.172.2,12192,443,true,LAX,North America,Los Angeles,503,2.79
138.2.40.152,587,0,true,NRT,Asia Pacific,Tokyo,115,2.76
123.212.61.199,30007,443,true,ICN,Asia Pacific,Seoul,136,2.73
119.230.149.211,12216,80,false,KIX,Asia Pacific,Osaka,129,2.69
220.118.166.200,10080,443,true,FUK,Asia Pacific,Fukuoka,236,2.63
118.33.59.23,50001,443,true,ICN,Asia Pacific,Seoul,126,2.63
59.10.2.83,18080,443,true,FUK,Asia Pacific,Fukuoka,201,2.59
118.34.79.112,50003,443,true,ICN,Asia Pacific,Seoul,164,2.58
103.106.230.186,81,443,true,HKG,Asia Pacific,Hong Kong,86,2.57
211.213.244.66,12174,443,true,ICN,Asia Pacific,Seoul,152,2.55
61.251.10.43,30012,443,true,ICN,Asia Pacific,Seoul,136,2.54
121.161.249.173,30012,443,true,ICN,Asia Pacific,Seoul,126,2.53
112.168.173.214,50003,443,true,ICN,Asia Pacific,Seoul,163,2.53
211.195.14.28,50003,443,true,ICN,Asia Pacific,Seoul,137,2.51
121.179.212.16,10081,443,true,FUK,Asia Pacific,Fukuoka,163,2.46
14.42.237.65,50003,443,true,ICN,Asia Pacific,Seoul,129,2.43
203.232.200.91,50003,443,true,ICN,Asia Pacific,Seoul,146,2.41
125.135.138.148,40005,80,false,ICN,Asia Pacific,Seoul,152,2.39
118.41.255.142,40005,80,false,ICN,Asia Pacific,Seoul,137,2.38
220.125.55.47,24472,443,true,FUK,Asia Pacific,Fukuoka,145,2.37
14.42.61.5,18080,443,true,FUK,Asia Pacific,Fukuoka,236,2.33
14.32.136.88,20000,443,true,ICN,Asia Pacific,Seoul,131,2.32
58.124.161.15,32400,443,true,ICN,Asia Pacific,Seoul,400,2.29
112.146.202.145,30013,443,true,ICN,Asia Pacific,Seoul,114,2.28
112.171.197.251,27017,443,true,FUK,Asia Pacific,Fukuoka,182,2.26
222.113.76.221,10000,443,true,ICN,Asia Pacific,Seoul,155,2.25
114.203.74.55,20880,443,true,ICN,Asia Pacific,Seoul,208,2.25
210.123.139.116,10443,443,true,ICN,Asia Pacific,Seoul,146,2.23
61.83.172.34,32101,443,true,ICN,Asia Pacific,Seoul,266,2.22
119.206.253.105,21318,443,true,ICN,Asia Pacific,Seoul,152,2.20
221.163.106.93,50003,443,true,ICN,Asia Pacific,Seoul,148,2.18
140.83.82.88,1443,443,true,KIX,Asia Pacific,Osaka,106,2.17
121.167.15.173,50003,443,true,ICN,Asia Pacific,Seoul,141,2.15
221.165.39.154,18084,443,true,ICN,Asia Pacific,Seoul,179,2.06
175.212.228.178,50011,443,true,ICN,Asia Pacific,Seoul,141,2.06
110.76.73.130,16923,443,true,FUK,Asia Pacific,Fukuoka,142,2.06
211.197.125.77,50003,443,true,ICN,Asia Pacific,Seoul,134,2.05
140.83.83.65,9872,443,true,KIX,Asia Pacific,Osaka,107,2.05
52.193.22.156,50996,443,true,NRT,Asia Pacific,Tokyo,95,2.01
122.37.123.130,10000,80,false,NRT,Asia Pacific,Tokyo,137,2.01
59.6.234.231,10162,443,true,FUK,Asia Pacific,Fukuoka,185,2.00
125.180.223.126,19150,443,true,ICN,Asia Pacific,Seoul,168,1.96
112.185.168.195,17780,443,true,ICN,Asia Pacific,Seoul,226,1.95
211.210.162.182,30005,443,true,ICN,Asia Pacific,Seoul,144,1.95
209.146.101.6,587,443,true,LAX,North America,Los Angeles,185,1.95
222.116.56.241,10134,443,true,ICN,Asia Pacific,Seoul,343,1.93
49.143.98.203,40005,80,false,ICN,Asia Pacific,Seoul,237,1.92
175.207.220.139,10909,443,true,ICN,Asia Pacific,Seoul,165,1.91
211.219.44.149,50003,443,true,ICN,Asia Pacific,Seoul,127,1.89
209.146.101.42,587,443,true,LAX,North America,Los Angeles,209,1.87
222.118.166.49,10443,443,true,ICN,Asia Pacific,Seoul,128,1.87
121.168.110.73,10002,443,true,FUK,Asia Pacific,Fukuoka,138,1.85
222.103.112.243,12120,80,false,FUK,Asia Pacific,Fukuoka,152,1.84
180.65.124.227,10001,443,true,NRT,Asia Pacific,Tokyo,174,1.84
121.157.200.254,10443,443,true,LAX,North America,Los Angeles,254,1.81
116.124.215.160,50010,443,true,ICN,Asia Pacific,Seoul,144,1.80
211.58.22.210,10250,443,true,KIX,Asia Pacific,Osaka,205,1.80
49.166.108.89,10250,443,true,NRT,Asia Pacific,Tokyo,153,1.80
183.103.248.48,10088,443,true,ICN,Asia Pacific,Seoul,423,1.79
175.213.1.46,40005,80,false,ICN,Asia Pacific,Seoul,135,1.76
121.188.30.164,26470,443,true,FUK,Asia Pacific,Fukuoka,729,1.75
112.171.204.166,40005,80,false,ICN,Asia Pacific,Seoul,132,1.73
183.106.123.243,50004,443,true,ICN,Asia Pacific,Seoul,157,1.72
220.93.164.196,10230,443,true,FUK,Asia Pacific,Fukuoka,170,1.71
175.208.103.63,15044,443,true,ICN,Asia Pacific,Seoul,132,1.70
121.146.38.125,13333,443,true,FUK,Asia Pacific,Fukuoka,156,1.70
112.161.21.160,10086,443,true,ICN,Asia Pacific,Seoul,171,1.70
218.209.72.79,18443,443,true,ICN,Asia Pacific,Seoul,181,1.69
222.102.118.9,10065,443,true,LAX,North America,Los Angeles,362,1.68
118.223.114.241,50003,443,true,ICN,Asia Pacific,Seoul,146,1.67
125.136.10.202,29842,443,true,FUK,Asia Pacific,Fukuoka,502,1.66
121.174.123.188,30025,443,true,ICN,Asia Pacific,Seoul,122,1.63
221.156.180.102,10250,443,true,ICN,Asia Pacific,Seoul,167,1.60
